| 0001 | {{#icon:001}} | [[Bisasam]] | Bulbasaur | Bulbizarre | {{Ruby|フシギダネ|Fushigidane}} | {{Ruby|이상해씨|Isanghessi}} | {{Ruby|妙蛙種子 / 妙蛙种子|Miàowāzhǒngzǐ}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0509 | {{#icon:509}} | [[Felilou]] | Purrloin | Chacripan | {{Ruby|チョロネコ|Choroneko}} | {{Ruby|쌔비냥|Ssaebinyang}} | {{Ruby|扒手貓 / 扒手猫|Páshǒumāo}} | {{#ic:Unlicht}}
| 0510 | {{#icon:510}} | [[Kleoparda]] | Liepard | Léopardus | {{Ruby|レパルダス|Lepardas}} | {{Ruby|레파르다스|Lepardas}} | {{Ruby|酷豹 / 酷豹|Kùbào}} | {{#ic:Unlicht}}
| 0511 | {{#icon:511}} | [[Vegimak]] | Pansage | Feuillajou | {{Ruby|ヤナップ|Yanappu}} | {{Ruby|야나프|Yanappu}} | {{Ruby|花椰猴 / 花椰猴|Huāyēhóu}} | {{#ic:Pflanze}}
| 0512 | {{#icon:512}} | [[Vegichita]] | Simisage | Feuiloutan | {{Ruby|ヤナッキー|Yanakkie}} | {{Ruby|야나키|Yanakkie}} | {{Ruby|花椰猿 / 花椰猿|Huāyēyuán}} | {{#ic:Pflanze}}
| 0513 | {{#icon:513}} | [[Grillmak]] | Pansear | Flamajou | {{Ruby|バオップ|Baoppu}} | {{Ruby|바오프|Baoppu}} | {{Ruby|爆香猴 / 爆香猴|Bàoxiānghóu}} | {{#ic:Feuer}}
| 0514 | {{#icon:514}} | [[Grillchita]] | Simisear | Flamoutan | {{Ruby|バオッキー|Baokkie}} | {{Ruby|바오키|Baokkie}} | {{Ruby|爆香猿 / 爆香猿|Bàoxiāngyuán}} | {{#ic:Feuer}}
| 0515 | {{#icon:515}} | [[Sodamak]] | Panpour | Flotajou | {{Ruby|ヒヤップ|Hiyappu}} | {{Ruby|앗차프|Atchappu}} | {{Ruby|冷水猴 / 冷水猴|Lěngshuǐhóu}} | {{#ic:Wasser}}
| 0516 | {{#icon:516}} | [[Sodachita]] | Simipour | Flotoutan | {{Ruby|ヒヤッキー|Hiyakkie}} | {{Ruby|앗차키|Atchakkie}} | {{Ruby|冷水猿 / 冷水猿|Lěngshuǐyuán}} | {{#ic:Wasser}}
| 0517 | {{#icon:517}} | [[Somniam]] | Munna | Munna | {{Ruby|ムンナ|Munna}} | {{Ruby|몽나|Mongna}} | {{Ruby|食夢夢 / 食梦梦|Shímèngmèng}} | {{#ic:Psycho}}
| 0518 | {{#icon:518}} | [[Somnivora]] | Musharna | Mushana | {{Ruby|ムシャーナ|Musharna}} | {{Ruby|몽얌나|Mongyamna}} | {{Ruby|夢夢蝕 / 梦梦蚀|Mèngmèngshí}} | {{#ic:Psycho}}
| 0519 | {{#icon:519}} | [[Dusselgurr]] | Pidove | Poichigeon | {{Ruby|マメパト|Mamepato}} | {{Ruby|콩둘기|Kongdulgi}} | {{Ruby|豆豆鴿 / 豆豆鸽|Dòudòugē}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0520 | {{#icon:520}} | [[Navitaub]] | Tranquill | Colombeau | {{Ruby|ハトーボー|Hatoboh}} | {{Ruby|유토브|Yutobu}} | {{Ruby|咕咕鴿 / 咕咕鸽|Gūgūgē}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0521 | {{#icon:521}} | [[Fasasnob]] | Unfezant | Déflaisan | {{Ruby|ケンホロウ|Kenhallow}} | {{Ruby|켄호로우|Kenhorrow}} | {{Ruby|高傲雉雞 / 高傲雉鸡|Gāo'àozhìjī}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0522 | {{#icon:522}} | [[Elezeba]] | Blitzle | Zébibron | {{Ruby|シママ|Shimama}} | {{Ruby|줄뮤마|Julmyuma}} | {{Ruby|斑斑馬 / 斑斑马|Bānbānmǎ}} | {{#ic:Elektro}}
| 0523 | {{#icon:523}} | [[Zebritz]] | Zebstrika | Zéblitz | {{Ruby|ゼブライカ|Zebraika}} | {{Ruby|제브라이카|Zebraika}} | {{Ruby|雷電斑馬 / 雷电斑马|Léidiànbānmǎ}} | {{#ic:Elektro}}
| 0524 | {{#icon:524}} | [[Kiesling]] | Roggenrola | Nodulithe | {{Ruby|ダンゴロ|Dangoro}} | {{Ruby|단굴|Dangul}} | {{Ruby|石丸子 / 石丸子|Shíwánzǐ}} | {{#ic:Gestein}}
| 0525 | {{#icon:525}} | [[Sedimantur]] | Boldore | Géolithe | {{Ruby|ガントル|Gantle}} | {{Ruby|암트르|Amtru}} | {{Ruby|地幔岩 / 地幔岩|Dìmànyán}} | {{#ic:Gestein}}
| 0526 | {{#icon:526}} | [[Brockoloss]] | Gigalith | Gigalithe | {{Ruby|ギガイアス|Gigaiath}} | {{Ruby|기가이어스|Gigaiath}} | {{Ruby|龐岩怪 / 庞岩怪|Pángyánguài}} | {{#ic:Gestein}}
| 0527 | {{#icon:527}} | [[Fleknoil]] | Woobat | Chovsourir | {{Ruby|コロモリ|Koromori}} | {{Ruby|또르박쥐|Ttorbakjwi}} | {{Ruby|滾滾蝙蝠 / 滚滚蝙蝠|Gǔngǔnbiānfú}} | {{#ic:Psycho}}&nbsp;{{#ic:Flug}}
| 0528 | {{#icon:528}} | [[Fletiamo]] | Swoobat | Rhinolove | {{Ruby|ココロモリ|Kokoromori}} | {{Ruby|맘박쥐|Mambakjwi}} | {{Ruby|心蝙蝠 / 心蝙蝠|Xīnbiānfú}} | {{#ic:Psycho}}&nbsp;{{#ic:Flug}}
| 0529 | {{#icon:529}} | [[Rotomurf]] | Drilbur | Rototaupe | {{Ruby|モグリュー|Mogurew}} | {{Ruby|두더류|Dudeoryu}} | {{Ruby|螺釘地鼠 / 螺钉地鼠|Luódīngdìshǔ}} | {{#ic:Boden}}
| 0530 | {{#icon:530}} | [[Stalobor]] | Excadrill | Minotaupe | {{Ruby|ドリュウズ|Doryuzu}} | {{Ruby|몰드류|Moldryu}} | {{Ruby|龍頭地鼠 / 龙头地鼠|Lóngtóudìshǔ}} | {{#ic:Boden}}&nbsp;{{#ic:Stahl}}
| 0531 | {{#icon:531}} | [[Ohrdoch]] | Audino | Nanméouïe | {{Ruby|タブンネ|Tabunne}} | {{Ruby|다부니|Dabunie}} | {{Ruby|差不多娃娃 / 差不多娃娃|Chàbùduōwáwá}} | {{#ic:Normal}}
| 0532 | {{#icon:532}} | [[Praktibalk]] | Timburr | Charpenti | {{Ruby|ドッコラー|Dokkorer}} | {{Ruby|으랏차|Uratcha}} | {{Ruby|搬運小匠 / 搬运小匠|Bānyùnxiǎojiàng}} | {{#ic:Kampf}}
| 0533 | {{#icon:533}} | [[Strepoli]] | Gurdurr | Ouvrifier | {{Ruby|ドテッコツ|Dotekkotsu}} | {{Ruby|토쇠골|Tosoegol}} | {{Ruby|鐵骨土人 / 铁骨土人|Tiěgǔtǔrén}} | {{#ic:Kampf}}
| 0534 | {{#icon:534}} | [[Meistagrif]] | Conkeldurr | Bétochef | {{Ruby|ローブシン|Roubushin}} | {{Ruby|노보청|Nobocheong}} | {{Ruby|修建老匠 / 修建老匠|Xiūjiànlǎojiàng}} | {{#ic:Kampf}}
| 0535 | {{#icon:535}} | [[Schallquap]] | Tympole | Tritonde | {{Ruby|オタマロ|Otamaro}} | {{Ruby|동챙이|Dongchaengi}} | {{Ruby|圓蝌蚪 / 圆蝌蚪|Yuánkēdǒu}} | {{#ic:Wasser}}
| 0536 | {{#icon:536}} | [[Mebrana]] | Palpitoad | Batracné | {{Ruby|ガマガル|Gamagaru}} | {{Ruby|두까비|Dukkabi}} | {{Ruby|藍蟾蜍 / 蓝蟾蜍|Lánchánchú}} | {{#ic:Wasser}}&nbsp;{{#ic:Boden}}
| 0537 | {{#icon:537}} | [[Branawarz]] | Seismitoad | Crapustule | {{Ruby|ガマゲロゲ|Gamageroge}} | {{Ruby|두빅굴|Dubiggul}} | {{Ruby|蟾蜍王 / 蟾蜍王|Chánchúwáng}} | {{#ic:Wasser}}&nbsp;{{#ic:Boden}}
| 0538 | {{#icon:538}} | [[Jiutesto]] | Throh | Judokrak | {{Ruby|ナゲキ|Nageki}} | {{Ruby|던지미|Deonjimi}} | {{Ruby|投摔鬼 / 投摔鬼|Tóushuāiguǐ}} | {{#ic:Kampf}}
| 0539 | {{#icon:539}} | [[Karadonis]] | Sawk | Karaclée | {{Ruby|ダゲキ|Dageki}} | {{Ruby|타격귀|Tagyeokgwi}} | {{Ruby|打擊鬼 / 打击鬼|Dǎjīguǐ}} | {{#ic:Kampf}}
| 0540 | {{#icon:540}} | [[Strawickl]] | Sewaddle | Larveyette | {{Ruby|クルミル|Kurumiru}} | {{Ruby|두르보|Durbo}} | {{Ruby|蟲寶包 / 虫宝包|Chóngbǎobāo}} | {{#ic:Käfer}}&nbsp;{{#ic:Pflanze}}
| 0541 | {{#icon:541}} | [[Folikon]] | Swadloon | Couverdure | {{Ruby|クルマユ|Kurumayu}} | {{Ruby|두르쿤|Durcoon}} | {{Ruby|寶包繭 / 宝包茧|Bǎobāojiǎn}} | {{#ic:Käfer}}&nbsp;{{#ic:Pflanze}}
| 0542 | {{#icon:542}} | [[Matrifol]] | Leavanny | Manternel | {{Ruby|ハハコモリ|Hahakomori}} | {{Ruby|모아머|Moameo}} | {{Ruby|保母蟲 / 保姆虫|Bǎomǔchóng}} | {{#ic:Käfer}}&nbsp;{{#ic:Pflanze}}
| 0543 | {{#icon:543}} | [[Toxiped]] | Venipede | Venipatte | {{Ruby|フシデ|Fushide}} | {{Ruby|마디네|Madine}} | {{Ruby|百足蜈蚣 / 百足蜈蚣|Bǎizúwúgōng}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0544 | {{#icon:544}} | [[Rollum]] | Whirlipede | Scobolide | {{Ruby|ホイーガ|Wheega}} | {{Ruby|휠구|Hwilgu}} | {{Ruby|車輪毬 / 车轮球|Chēlúnqiú}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0545 | {{#icon:545}} | [[Cerapendra]] | Scolipede | Brutapode | {{Ruby|ペンドラー|Pendror}} | {{Ruby|펜드라|Pendror}} | {{Ruby|蜈蚣王 / 蜈蚣王|Wúgōngwáng}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0546 | {{#icon:546}} | [[Waumboll]] | Cottonee | Doudouvet | {{Ruby|モンメン|Monmen}} | {{Ruby|소미안|Somian}} | {{Ruby|木棉球 / 木棉球|Mùmiánqiú}} | {{#ic:Pflanze}}&nbsp;{{#ic:Fee}}
| 0547 | {{#icon:547}} | [[Elfun]] | Whimsicott | Farfaduvet | {{Ruby|エルフーン|Elfuun}} | {{Ruby|엘풍|Elfuun}} | {{Ruby|風妖精 / 风妖精|Fēngyāojīng}} | {{#ic:Pflanze}}&nbsp;{{#ic:Fee}}
| 0548 | {{#icon:548}} | [[Lilminip]] | Petilil | Chlorobule | {{Ruby|チュリネ|Churine}} | {{Ruby|치릴리|Chirilri}} | {{Ruby|百合根娃娃 / 百合根娃娃|Bǎihégēnwáwá}} | {{#ic:Pflanze}}
| 0549 | {{#icon:549}} | [[Dressella]] | Lilligant | Fragilady | {{Ruby|ドレディア|Dredear}} | {{Ruby|드레디어|Dredear}} | {{Ruby|裙兒小姐 / 裙儿小姐|Qún'érxiǎojiě}} | {{#ic:Pflanze}}
| 0550 | {{#icon:550}} | [[Barschuft]] | Basculin | Bargantua | {{Ruby|バスラオ|Bassrao}} | {{Ruby|배쓰나이|Bessnai}} | {{Ruby|野蠻鱸魚 / 野蛮鲈鱼|Yěmánlúyú}} | {{#ic:Wasser}}
| 0551 | {{#icon:551}} | [[Ganovil]] | Sandile | Mascaïman | {{Ruby|メグロコ|Meguroco}} | {{Ruby|깜눈크|Kkamnunku}} | {{Ruby|黑眼鱷 / 黑眼鳄|Hēiyǎn'è}} | {{#ic:Boden}}&nbsp;{{#ic:Unlicht}}
| 0552 | {{#icon:552}} | [[Rokkaiman]] | Krokorok | Escroco | {{Ruby|ワルビル|Waruvile}} | {{Ruby|악비르|Akbir}} | {{Ruby|混混鱷 / 混混鳄|Hùnhùn'è}} | {{#ic:Boden}}&nbsp;{{#ic:Unlicht}}
| 0553 | {{#icon:553}} | [[Rabigator]] | Krookodile | Crocorible | {{Ruby|ワルビアル|Waruvial}} | {{Ruby|악비아르|Akbiar}} | {{Ruby|流氓鱷 / 流氓鳄|Liúmáng'è}} | {{#ic:Boden}}&nbsp;{{#ic:Unlicht}}
| 0554 | {{#icon:554}} | [[Flampion]] | Darumaka | Darumarond | {{Ruby|ダルマッカ|Darumakka}} | {{Ruby|달막화|Dalmakhwa}} | {{Ruby|火紅不倒翁 / 火红不倒翁|Huǒhóngbùdǎowēng}} | {{#ic:Feuer}}
| 0555 | {{#icon:555}} | [[Flampivian]] | Darmanitan | Darumacho | {{Ruby|ヒヒダルマ|Hihidaruma}} | {{Ruby|불비달마|Bulbidalma}} | {{Ruby|達摩狒狒 / 达摩狒狒|Dámófèifèi}} | {{#ic:Feuer}}
| 0556 | {{#icon:556}} | [[Maracamba]] | Maractus | Maracachi | {{Ruby|マラカッチ|Maracacchi}} | {{Ruby|마라카치|Maracacchi}} | {{Ruby|沙鈴仙人掌 / 沙铃仙人掌|Shālíngxiānrénzhǎng}} | {{#ic:Pflanze}}
| 0557 | {{#icon:557}} | [[Lithomith]] | Dwebble | Crabicoque | {{Ruby|イシズマイ|Ishizumai}} | {{Ruby|돌살이|Dolsari}} | {{Ruby|石居蟹 / 石居蟹|Shíjūxiè}} | {{#ic:Käfer}}&nbsp;{{#ic:Gestein}}
| 0558 | {{#icon:558}} | [[Castellith]] | Crustle | Crabaraque | {{Ruby|イワパレス|Iwapalace}} | {{Ruby|암팰리스|Ampalace}} | {{Ruby|岩殿居蟹 / 岩殿居蟹|Yándiànjūxiè}} | {{#ic:Käfer}}&nbsp;{{#ic:Gestein}}
| 0559 | {{#icon:559}} | [[Zurrokex]] | Scraggy | Baggiguane | {{Ruby|ズルッグ|Zuruggu}} | {{Ruby|곤율랭|Gonyulraeng}} | {{Ruby|滑滑小子 / 滑滑小子|Huáhuáxiǎozǐ}} | {{#ic:Unlicht}}&nbsp;{{#ic:Kampf}}
| 0560 | {{#icon:560}} | [[Irokex]] | Scrafty | Baggaïd | {{Ruby|ズルズキン|Zuruzukin}} | {{Ruby|곤율거니|Gonyulgeoni}} | {{Ruby|頭巾混混 / 头巾混混|Tóujīnhùnhùn}} | {{#ic:Unlicht}}&nbsp;{{#ic:Kampf}}
| 0561 | {{#icon:561}} | [[Symvolara]] | Sigilyph | Cryptéro | {{Ruby|シンボラー|Symboler}} | {{Ruby|심보러|Symboler}} | {{Ruby|象徵鳥 / 象征鸟|Xiàngzhēngniǎo}} | {{#ic:Psycho}}&nbsp;{{#ic:Flug}}
| 0562 | {{#icon:562}} | [[Makabaja]] | Yamask | Tutafeh | {{Ruby|デスマス|Desumasu}} | {{Ruby|데스마스|Desumasu}} | {{Ruby|哭哭面具 / 哭哭面具|Kūkūmiànjù}} | {{#ic:Geist}}
| 0563 | {{#icon:563}} | [[Echnatoll]] | Cofagrigus | Tutankafer | {{Ruby|デスカーン|Desukarn}} | {{Ruby|데스니칸|Desunikan}} | {{Ruby|死神棺 / {{tt|迭失棺|früher: 死神棺}}|Sǐshénguān / Diéshīguān}} | {{#ic:Geist}}
| 0564 | {{#icon:564}} | [[Galapaflos]] | Tirtouga | Carapagos | {{Ruby|プロトーガ|Protoga}} | {{Ruby|프로토가|Protoga}} | {{Ruby|原蓋海龜 / 原盖海龟|Yuángàihǎiguī}} | {{#ic:Wasser}}&nbsp;{{#ic:Gestein}}
| 0565 | {{#icon:565}} | [[Karippas]] | Carracosta | Mégapagos | {{Ruby|アバゴーラ|Abagoura}} | {{Ruby|늑골라|Neukgolra}} | {{Ruby|肋骨海龜 / 肋骨海龟|Lèigǔhǎiguī}} | {{#ic:Wasser}}&nbsp;{{#ic:Gestein}}
| 0566 | {{#icon:566}} | [[Flapteryx]] | Archen | Arkéapti | {{Ruby|アーケン|Archen}} | {{Ruby|아켄|Aken}} | {{Ruby|始祖小鳥 / 始祖小鸟|Shǐzǔxiǎoniǎo}} | {{#ic:Gestein}}&nbsp;{{#ic:Flug}}
| 0567 | {{#icon:567}} | [[Aeropteryx]] | Archeops | Aéroptéryx | {{Ruby|アーケオス|Archeos}} | {{Ruby|아케오스|Akeos}} | {{Ruby|始祖大鳥 / 始祖大鸟|Shǐzǔdàniǎo}} | {{#ic:Gestein}}&nbsp;{{#ic:Flug}}
| 0568 | {{#icon:568}} | [[Unratütox]] | Trubbish | Miamiasme | {{Ruby|ヤブクロン|Yabukuron}} | {{Ruby|깨봉이|Kkaebongi}} | {{Ruby|破破袋 / 破破袋|Pòpòdài}} | {{#ic:Gift}}
| 0569 | {{#icon:569}} | [[Deponitox]] | Garbodor | Miasmax | {{Ruby|ダストダス|Dustdas}} | {{Ruby|더스트나|Dustna}} | {{Ruby|灰塵山 / 灰尘山|Huīchénshān}} | {{#ic:Gift}}
| 0570 | {{#icon:570}} | [[Zorua]] | Zorua | Zorua | {{Ruby|ゾロア|Zorua}} | {{Ruby|조로아|Zorua}} | {{Ruby|索羅亞 / 索罗亚|Suǒluóyà}} | {{#ic:Unlicht}}
| 0571 | {{#icon:571}} | [[Zoroark]] | Zoroark | Zoroark | {{Ruby|ゾロアーク|Zoroark}} | {{Ruby|조로아크|Zoroark}} | {{Ruby|索羅亞克 / 索罗亚克|Suǒluóyàkè}} | {{#ic:Unlicht}}
| 0572 | {{#icon:572}} | [[Picochilla]] | Minccino | Chinchidou | {{Ruby|チラーミィ|Chillarmy}} | {{Ruby|치라미|Chillarmy}} | {{Ruby|泡沫栗鼠 / 泡沫栗鼠|Pàomòlìshǔ}} | {{#ic:Normal}}
| 0573 | {{#icon:573}} | [[Chillabell]] | Cinccino | Pashmilla | {{Ruby|チラチーノ|Chillaccino}} | {{Ruby|치라치노|Chillaccino}} | {{Ruby|奇諾栗鼠 / 奇诺栗鼠|Qínuòlìshǔ}} | {{#ic:Normal}}
| 0574 | {{#icon:574}} | [[Mollimorba]] | Gothita | Scrutella | {{Ruby|ゴチム|Gothimu}} | {{Ruby|고디탱|Goditeng}} | {{Ruby|哥德寶寶 / 哥德宝宝|Gēdébǎobǎo}} | {{#ic:Psycho}}
| 0575 | {{#icon:575}} | [[Hypnomorba]] | Gothorita | Mesmérella | {{Ruby|ゴチミル|Gothimiru}} | {{Ruby|고디보미|Godibomi}} | {{Ruby|哥德小童 / 哥德小童|Gēdéxiǎotóng}} | {{#ic:Psycho}}
| 0576 | {{#icon:576}} | [[Morbitesse]] | Gothitelle | Sidérella | {{Ruby|ゴチルゼル|Gothiruselle}} | {{Ruby|고디모아젤|Godimoiselle}} | {{Ruby|哥德小姐 / 哥德小姐|Gēdéxiǎojiě}} | {{#ic:Psycho}}
| 0577 | {{#icon:577}} | [[Monozyto]] | Solosis | Nucléos | {{Ruby|ユニラン|Uniran}} | {{Ruby|유니란|Uniran}} | {{Ruby|單卵細胞球 / 单卵细胞球|Dānluǎnxìbāoqiú}} | {{#ic:Psycho}}
| 0578 | {{#icon:578}} | [[Mitodos]] | Duosion | Méios | {{Ruby|ダブラン|Doublan}} | {{Ruby|듀란|Dyuran}} | {{Ruby|雙卵細胞球 / 双卵细胞球|Shuāngluǎnxìbāoqiú}} | {{#ic:Psycho}}
| 0579 | {{#icon:579}} | [[Zytomega]] | Reuniclus | Symbios | {{Ruby|ランクルス|Lanculus}} | {{Ruby|란쿨루스|Lanculus}} | {{Ruby|人造細胞卵 / 人造细胞卵|Rénzàoxìbāoluǎn}} | {{#ic:Psycho}}
| 0580 | {{#icon:580}} | [[Piccolente]] | Ducklett | Couaneton | {{Ruby|コアルヒー|Koaruhie}} | {{Ruby|꼬지보리|Kkojibori}} | {{Ruby|鴨寶寶 / 鸭宝宝|Yābǎobǎo}} | {{#ic:Wasser}}&nbsp;{{#ic:Flug}}
| 0581 | {{#icon:581}} | [[Swaroness]] | Swanna | Lakmécygne | {{Ruby|スワンナ|Swanna}} | {{Ruby|스완나|Swanna}} | {{Ruby|舞天鵝 / 舞天鹅|Wǔtiān'é}} | {{#ic:Wasser}}&nbsp;{{#ic:Flug}}
| 0582 | {{#icon:582}} | [[Gelatini]] | Vanillite | Sorbébé | {{Ruby|バニプッチ|Vanipeti}} | {{Ruby|바닐프티|Vanipeti}} | {{Ruby|迷你冰 / 迷你冰|Mínǐbīng}} | {{#ic:Eis}}
| 0583 | {{#icon:583}} | [[Gelatroppo]] | Vanillish | Sorboul | {{Ruby|バニリッチ|Vanirich}} | {{Ruby|바닐리치|Vanirich}} | {{Ruby|多多冰 / 多多冰|Duōduōbīng}} | {{#ic:Eis}}
| 0584 | {{#icon:584}} | [[Gelatwino]] | Vanilluxe | Sorbouboul | {{Ruby|バイバニラ|Baivanilla}} | {{Ruby|배바닐라|Baevanilla}} | {{Ruby|雙倍多多冰 / 双倍多多冰|Shuāngbèiduōduōbīng}} | {{#ic:Eis}}
| 0585 | {{#icon:585}} | [[Sesokitz]] | Deerling | Vivaldaim | {{Ruby|シキジカ|Shikijika}} | {{Ruby|사철록|Sacheolrok}} | {{Ruby|四季鹿 / 四季鹿|Sìjìlù}} | {{#ic:Normal}}&nbsp;{{#ic:Pflanze}}
| 0586 | {{#icon:586}} | [[Kronjuwild]] | Sawsbuck | Haydaim | {{Ruby|メブキジカ|Mebukijika}} | {{Ruby|바라철록|Baracheolrok}} | {{Ruby|萌芽鹿 / 萌芽鹿|Méngyálù}} | {{#ic:Normal}}&nbsp;{{#ic:Pflanze}}
| 0587 | {{#icon:587}} | [[Emolga]] | Emolga | Emolga | {{Ruby|エモンガ|Emonga}} | {{Ruby|에몽가|Emonga}} | {{Ruby|電飛鼠 / 电飞鼠|Diànfēishǔ}} | {{#ic:Elektro}}&nbsp;{{#ic:Flug}}
| 0588 | {{#icon:588}} | [[Laukaps]] | Karrablast | Carabing | {{Ruby|カブルモ|Kaburumo}} | {{Ruby|딱정곤|Ttakjeonggon}} | {{Ruby|蓋蓋蟲 / 盖盖虫|Gàigàichóng}} | {{#ic:Käfer}}
| 0589 | {{#icon:589}} | [[Cavalanzas]] | Escavalier | Lançargot | {{Ruby|シュバルゴ|Chevargo}} | {{Ruby|슈바르고|Chevargo}} | {{Ruby|騎士蝸牛 / 骑士蜗牛|Qíshìwōniú}} | {{#ic:Käfer}}&nbsp;{{#ic:Stahl}}
| 0590 | {{#icon:590}} | [[Tarnpignon]] | Foongus | Trompignon | {{Ruby|タマゲタケ|Tamagetake}} | {{Ruby|깜놀버슬|Kamnolberseul}} | {{Ruby|哎呀球菇 / 哎呀球菇|Āiyāqiúgū}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0591 | {{#icon:591}} | [[Hutsassa]] | Amoonguss | Gaulet | {{Ruby|モロバレル|Morobareru}} | {{Ruby|뽀록나|Pporokna}} | {{Ruby|敗露球菇 / 败露球菇|Bàilùqiúgū}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0592 | {{#icon:592}} | [[Quabbel]] | Frillish | Viskuse | {{Ruby|プルリル|Pururill}} | {{Ruby|탱그릴|Tengguril}} | {{Ruby|輕飄飄 / 轻飘飘|Qīngpiāopiāo}} | {{#ic:Wasser}}&nbsp;{{#ic:Geist}}
| 0593 | {{#icon:593}} | [[Apoquallyp]] | Jellicent | Moyade | {{Ruby|ブルンゲル|Burungel}} | {{Ruby|탱탱겔|Taengtaenggel}} | {{Ruby|胖嘟嘟 / 胖嘟嘟|Pàngdūdū}} | {{#ic:Wasser}}&nbsp;{{#ic:Geist}}
| 0594 | {{#icon:594}} | [[Mamolida]] | Alomomola | Mamanbo | {{Ruby|ママンボウ|Mamanbou}} | {{Ruby|맘복치|Mambokchi}} | {{Ruby|保母曼波 / 保姆曼波|Bǎomǔmànbō}} | {{#ic:Wasser}}
| 0595 | {{#icon:595}} | [[Wattzapf]] | Joltik | Statitik | {{Ruby|バチュル|Bachuru}} | {{Ruby|피쪼옥|Pazzouok}} | {{Ruby|電電蟲 / 电电虫|Diàndiànchóng}} | {{#ic:Käfer}}&nbsp;{{#ic:Elektro}}
| 0596 | {{#icon:596}} | [[Voltula]] | Galvantula | Mygavolt | {{Ruby|デンチュラ|Dentula}} | {{Ruby|전툴라|Jeontula}} | {{Ruby|電蜘蛛 / 电蜘蛛|Diànzhīzhū}} | {{#ic:Käfer}}&nbsp;{{#ic:Elektro}}
| 0597 | {{#icon:597}} | [[Kastadur]] | Ferroseed | Grindur | {{Ruby|テッシード|Tesseed}} | {{Ruby|철시드|Cheolseed}} | {{Ruby|種子鐵球 / 种子铁球|Zhǒngzǐtiěqiú}} | {{#ic:Pflanze}}&nbsp;{{#ic:Stahl}}
| 0598 | {{#icon:598}} | [[Tentantel]] | Ferrothorn | Noacier | {{Ruby|ナットレイ|Nutrey}} | {{Ruby|너트령|Nutryung}} | {{Ruby|堅果啞鈴 / 坚果哑铃|Jiānguǒyǎlíng}} | {{#ic:Pflanze}}&nbsp;{{#ic:Stahl}}
| 0599 | {{#icon:599}} | [[Klikk]] | Klink | Tic | {{Ruby|ギアル|Giaru}} | {{Ruby|기어르|Giaru}} | {{Ruby|齒輪兒 / 齿轮儿|Chǐlún'ér}} | {{#ic:Stahl}}
| 0600 | {{#icon:600}} | [[Kliklak]] | Klang | Clic | {{Ruby|ギギアル|Gigiaru}} | {{Ruby|기기어르|Gigiaru}} | {{Ruby|齒輪組 / 齿轮组|Chǐlúnzǔ}} | {{#ic:Stahl}}
| 0601 | {{#icon:601}} | [[Klikdiklak]] | Klinklang | Cliticlic | {{Ruby|ギギギアル|Gigigiaru}} | {{Ruby|기기기어르|Gigigiaru}} | {{Ruby|齒輪怪 / 齿轮怪|Chǐlúnguài}} | {{#ic:Stahl}}
| 0602 | {{#icon:602}} | [[Zapplardin]] | Tynamo | Anchwatt | {{Ruby|シビシラス|Shibishirasu}} | {{Ruby|저리어|Jeorieo}} | {{Ruby|麻麻小魚 / 麻麻小鱼|Mámáxiǎoyú}} | {{#ic:Elektro}}
| 0603 | {{#icon:603}} | [[Zapplalek]] | Eelektrik | Lampéroie | {{Ruby|シビビール|Shibibeel}} | {{Ruby|저리릴|Jeoriril}} | {{Ruby|麻麻鰻 / 麻麻鳗|Mámámán}} | {{#ic:Elektro}}
| 0604 | {{#icon:604}} | [[Zapplarang]] | Eelektross | Ohmassacre | {{Ruby|シビルドン|Shibirudon}} | {{Ruby|저리더프|Jeorideof}} | {{Ruby|麻麻鰻魚王 / 麻麻鳗鱼王|Mámámányúwáng}} | {{#ic:Elektro}}
| 0605 | {{#icon:605}} | [[Pygraulon]] | Elgyem | Lewsor | {{Ruby|リグレー|Ligray}} | {{Ruby|리그레|Ligray}} | {{Ruby|小灰怪 / 小灰怪|Xiǎohuīguài}} | {{#ic:Psycho}}
| 0606 | {{#icon:606}} | [[Megalon]] | Beheeyem | Neitram | {{Ruby|オーベム|Ohbem}} | {{Ruby|벰크|Bemk}} | {{Ruby|大宇怪 / 大宇怪|Dàyǔguài}} | {{#ic:Psycho}}
| 0607 | {{#icon:607}} | [[Lichtel]] | Litwick | Funécire | {{Ruby|ヒトモシ|Hitomoshi}} | {{Ruby|불켜미|Bulkyeomi}} | {{Ruby|燭光靈 / 烛光灵|Zhúguānglíng}} | {{#ic:Geist}}&nbsp;{{#ic:Feuer}}
